Event-Name,Event-Details
Dougie MacLean,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, April 13, 2019</span> </div>
<p>DOUGIE MacLEAN<br/>
CD Release</p>
<p>“A Scottish phenomenon… with his exquisite guitar style, expressive voice and honest performance, his songs conjure up remarkably vivid imagery of our world”<br/>
PERFORMING SONGWRITER</p>
<p>“A musical hero” WALL STREET JOURNAL</p>
<p>Multi-instrumentalist Dougie MacLean lives in Perthshire, Scotland. From here he has earned on his own terms an international reputation as songwriter, composer and extraordinarily charismatic performer. He has played concerts and festivals all over the world, from Carnegie Hall to London’s Festival Theatre and the Sydney Opera House. He has shared a stage with Lou Reed and Eddi Reader on the grounds of Culzean Castle at the Burns and A’ That festival, was featured on the BBC Hogmanay (New Year’s) programme from Edinburgh Castle with James Taylor, and shared an evening with music legend Mavis Staples at Glasgow‘s Royal Concert Hall. His own Perthshire Amber Festival is one of Scotland’s premier annual music events.</p>
<p>His songs have been covered by hosts of artists including, Irish greats Ronan Keating, Mary &amp; Frances Black, Dolores Keane and Grammy winner Kathy Mattea. His anthem “Caledonia” has topped the Scottish charts and become one of Scotland’s most popular contemporary songs. He has composed for film (e.g. Last of the Mohicans), TV Drama (e.g. BBC’s A Mugs Game) and has been the subject of three BBC-TV Specials (“The Land – Songs of Dougie MacLean,” “SongRoads” and “Clann na Mara – Children of the Sea”).</p>
<p>He was awarded an OBE for his services to music and charity, two prestigious Tartan Cleff Awards, been inducted into the Scottish Music Hall of Fame, and given a Lifetime Achievement Award by the BBC.</p>
<p>Onstage he’ll be highlighting music from his two newest albums, New Tomorrow (2017) and A Robert Burns Selection (2018). </p>
<p> www.dougiemaclean.com</p>
</div>"
National Geographic Live! Brian Skerry,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, March 14, 2019</span> </div>
<p>National Geographic Live Ocean Soul<br/>
Brian Skerry, Underwater Photographer<br/>
March 14th, 2019</p>
<p>Voyage across the oceans with one of National Geographic’s most seasoned photographers and discover a vast, hidden world beneath the waves. Using his camera to communicate, Brian Skerry has spent more than 10,000 hours underwater telling the oceans’ stories. His images celebrate the mystery of the depths and offer portraits of creatures so intimate they sometimes appear to have been shot in a studio. Skerry dives eight months of the year, often in extreme conditions beneath Arctic ice or in predator-infested waters, and has even lived at the bottom of the sea to get close to his subjects. This past fall, National Geographic Books published Ocean Soul, a landmark retrospective of Skerry’s photographs. In the book and this presentation, Skerry takes us from the glacial waters of the North Atlantic, where harp seals face off with commercial hunters, to the balmy central Pacific, where he photographed damaged coral ecosystems rebuilding themselves. On stage, Skerry is a passionate spokesman for the oceans he loves to photograph. His riveting presentations to audiences at TED, Harvard, and London’s Royal Geographic Society inspire reverence for the marine realm and offer hope for protecting the vitality of the world’s oceans.</p>
<img alt="""" class=""alignnone size-medium wp-image-1987"" height=""184"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-300x184.png"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-300x184.png 300w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-768x471.png 768w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag-1024x629.png 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2017/07/em-logo-vert-wo-tag.png 1155w"" width=""300""/>
</div>"
Schenectady Symphony Orchestra,"<div class=""content"">
<div class=""show-run"">
<span>Sunday, May 12, 2019</span> </div>
<p>Mothers Day Romance</p>
<p>“Somewhere” and “One Hand, One Heart” Leonard Bernstein<br/>
Special Guests – The Schenectady High School Silhouettes<br/>
Under the direction of Rachel Gayne<br/>
Romeo and Juliet David Diamond<br/>
Piano Concerto No.2 Sergei Rachmaninoff<br/>
Kyra Lombard, soloist<br/>
Enigma Variations. Edward Elgar</p>
<p>Sponsored by Stewart’s Shops</p>
</div>"
PB&J Cafe: Stuart Little,"<div class=""content"">
<div class=""show-run"">
<span>Friday, March 29, 2019</span> to <span>Saturday, March 30, 2019</span> </div>
<p>Adapted by Joseph Robinette. Based on the book by E.B. White.</p>
<p>This is the endearing classic about a mouse named Stuart who is born into an ordinary New York family. All the charm, wisdom and joy of the E.B. White original are captured in this adaptation by Joseph Robinette, who also dramatized the highly acclaimed stage version of Charlotte’s Web. The many adventures–both big and small–of Stuart Little are brought vividly to life in this story-theatre presentation. The acting ensemble plays many human and animal roles in a series of delightful scenes that make up the marvelous maneuverings of a mild-mannered mouse trying to survive in a “real people’s world.” </p>
</div>"
Film: Royal Opera: LA TRAVIATA,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, February 26, 2019</span> </div>
<p><i>Royal Opera presents</i><b><br/>
</b><b>LA TRAVIATA</b><b></b></p>
<p class=""x_MsoNormal"">Richard Eyre’s beautiful production provides the perfect setting for Giuseppe Verdi’s opera about a courtesan who sacrifices all for love. From the thrill of unexpected romance to a heartbreaking reconciliation that comes too late – Verdi’s La traviata is one of the most popular of all operas. The opera’s wealth of melodies includes the famous Brindisi and the exuberant ‘Sempre libera’ – both showing the lyricism of Italian opera at its most immediately appealing. Lavish period sets and costumes enhance the reality of a moving story based on true life.  The cast shall incluce Ermonela Jaho as Violetta Valéry), Charles Castronovo as Alfredo Germont, and Plácido Domingo as Giorgio Germont. Sung in Italian with English titles. Estimated running time: 215 minutes incl. two Intermissions.</p>
<p><b>Tuesday, February 26 at 2pm and 7pm</b></p>
<p>All tickets: $15</p>
</div>"
Film: KING COHEN,"<div class=""content"">
<div class=""show-run"">
<span>Wednesday, December 12, 2018</span> </div>
<p> </p>
<p class=""x_MsoNormal""><i>It Came from Schenectady presents</i><br/>
<b>KING COHEN: THE WILD WORLD OF FILMMAKER LARRY COHEN</b></p>
<p class=""x_MsoNormal"">This documentary looks at the acclaimed and eclectic career of maverick filmmaker, Larry Cohen. Credited in the ‘60s as the Creator of TV’s <i>The Invaders, Branded</i> and others, Cohen went on to direct (and also often write) fan and critical faves <em>It’s Alive!</em>, <em>Black Caesar</em>, <em>The Stuff</em>, <em>Hell Up in Harlem</em>, <em>Q: The Winged Serpent</em>, <em>The Private Files of J. Edgar Hoover</em>. and so many, many more. Interviewees – in addition to Cohen himself – include Martin Scorsese, J.J. Abrams, Joe Dante, Fred Williamson, John Landis, Robert Forster, Traci Lords, Yaphet Kotto, Rick Baker, Michael Moriarty and a host of others. As with other ICFS events, expect prizes, surprises, comfy couches and wonderfully fun drink specials! Not rated. 110 minutes.</p>
<p class=""x_MsoNormal""><b>Wednesday, December 12 at 7pm</b></p>
<p class=""x_MsoNormal""> </p>
</div>"
Film: Exhibition on Screen: Young Picasso,"<div class=""content"">
<div class=""show-run"">
<span>Tuesday, February 05, 2019</span> </div>
<p> </p>
<p><em>Exhibition On Screen presents</em><br/>
<strong>YOUNG PICASSO</strong></p>
<p>Pablo Picasso is one of the greatest artists of all time – and right up until his death in 1973 he was also one of the most prolific. Many films have dealt with his later years – the art, the affairs and the wide circle of friends – but where did this all begin? Too long ignored, it is time to look at the early years of Picasso; the upbringing and the learning that led to his extraordinary achievements. Three cities play a key role: Malaga, Barcelona and Paris. Young Picasso visits each, working closely with all three Picasso Museums, to explore each city’s influence on the artist. Looking carefully at his so-called Blue Period and Rose Period, the film takes us all the way back to 1907 and the creation of a critical painting in the history of art – <em>Les Demoiselles d’Avignon</em>. Though Picasso was merely 25 years old, his painting shocked the art world… and changed it irrevocably. Not rated. 85 minutes.</p>
<p><strong>Tuesday, February 5 at 2pm &amp; 7pm</strong></p>
<p> </p>
<p> </p>
</div>"
8th Annual Gospel Jubilee,"<div class=""content"">
<div class=""show-run"">
<span>Friday, April 12, 2019</span> </div>
<p class=""x_MsoNormal"">Don’t miss the highly anticipated eighth edition of the largest continuing gospel celebration in the Capital Region, Gospel Jubilee!</p>
<p class=""x_MsoNormal"">This annual event will bring great joy and uplifting music to all in attendance. Highlighted this year will be our special musical guests, Emtro Gospel Recording Artist/Owner, Troy Sneed, the Buffalo Academy of Visual Performing Arts Vocal Symphony conducted by Karen Saxon and a tribute to the Queen of Soul, Aretha Franklin.</p>
<p class=""x_MsoNormal"">Gospel Jubilee features the Jubilee Mass Choir under the musical direction of Reverend Elgin Joseph Taylor, Sr. and the Jubilee Praise Dancers coordinated by Demetris Barrett.</p>
<h2>Learn more about our performers:</h2>
<img alt="""" class=""size-medium wp-image-6023 alignleft"" height=""200"" sizes=""(max-width: 300px) 100vw, 300px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/08/IMG_0323-300x200.jpg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/08/IMG_0323-300x200.jpg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/08/IMG_0323-768x513.jpg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/08/IMG_0323-1024x684.jpg 1024w"" width=""300""/>
<p><strong>Troy Sneed</strong> is the CEO and owner of two gospel recording labels, EMTRO Gospel and T-Sneed Records. Troy is also a Stellar Award-winning and Soul Train and Dove Award-nominated producer and national recording artist. He has consistently stayed on the Billboard charts since 2006 with praise and worship radio hits such as “Struggle is Over” (#1 on Billboard for over three months, 2006), “Hallelujah”, and “Work It Out” (R&amp;R Billboard #2 Song of 2008).</p>
<p>His most recent album release entitled “Kept By His Grace” has garnered multiple honors and accolades already with not one but two singles being released to radio. Troy has also been acknowledged on 2017 Billboard’s Year-End Hot Singles Chart and the 2017 Billboard’s Artist of the Year Chart. To learn more about Troy, click <a href=""https://www.proctors.org/wp-content/uploads/sites/4/2018/08/TROY-SNEED.pdf"">here</a>!</p>
<p>The <strong>Buffalo Academy of Visual and Performing Arts Vocal Symphony</strong> is one of Western New York’s premier choral organizations. Our repertoire spans several styles including, but not limited to: classical, jazz, gospel, R &amp; B and show tunes. We have a standing performance partnership with the Grammy Award-winning Buffalo Philharmonic Orchestra and Chorus. We were featured internationally when we performed the American and Canadian Anthems for our beloved Buffalo Sabres (telecast on WMSG live). Further, we were hand-selected to sing our National Anthem at Governor Mario Cuomo’s State of the State Address in 2016. We were also proud to take our place in history as the only high school choral ensemble ever selected to perform at the Naval commissioning of the U.S.S. Little Rock in December 2017. Under the direction of Mrs. Karen Saxon, BAVPA Vocal Symphony has won first place in the regional mixed choir competition at Darien Lake in 2017 and 2018. In October 2018, we held the dubious honor of being one of the featured choirs to perform with Broadway professionals during the inaugural performance of Starring Buffalo’s Concert performance of the concert version of Disney’s, “The Hunchback of Notre Dame” alongside various Broadway performers. We are grateful to add to our extensive resume being a featured artist in the 8th Annual Gospel Jubilee on April 12, 2019.</p>
</div>"
Jazz is PHSH,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, January 24, 2019</span> </div>
<h3><strong>CELEBRATING THE MUSIC OF PHISH THROUGH THE LENS OF JAZZ</strong></h3>
<p>JAZZ IS PHSH is an instrumental tribute to Phish inspired by the popular tribute to The Grateful Dead, “Jazz is Dead”. JAZZ IS PHSH is a collective of prominent musicians from the Jazz and Jam scenes that have come together in their appreciation of Phish music to reimagine Phish in an instrumental, jazz fusion setting! The arrangements and performances of the band are built around their upcoming album which will feature many amazing musicians including Dennis Chambers (Santana, Miles Davis, Parliament Funkadelic), Jeff Coffin (Dave Matthews Band, The Flecktones), Chris Bullock (Snarky Puppy), Michael Ray (Sun Ra, Giant Country Horns, Cosmic Crewe), Kofi Burbridge (Tedeschi Trucks Band, Aquarium Rescue Unit, Trey Anastasio Band), Grant Green Jr. (Groove Masters), Anthony Wellington (Victor Wooten Band), &amp; many more!</p>
<p>Founded in 2015 by The Chase Brothers, Adam Chase and Matthew Chase, JAZZ IS PHSH has quickly become a world renown tribute to Phish, attracting some of the most influential musicians in the jazz and jam scenes to take part in this collective approach to paying tribute to one of the most important and influential bands in Rock and Roll history.</p>
<p>With the music of Phish being both largely improvised as well as highly composed, the framework of Phish’s music is the perfect vehicle for exploring in an instrumental setting. The compositions are both challenging and adaptive. Jazz IS PHSH provides an exploration of Phish music unlike anything else.</p>
</div>"
One-Man Star Wars Trilogy,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, January 26, 2019</span> </div>
<p>Canadian actor and uber geek, Charles Ross, brings his solo madcap creationOne-Man Star Wars Trilogy to the stage in this mind-bending whirlwind of a show.  Ross retells the classic bad hair trilogy in 60 minutes- no costumes, no props, no sets- all the characters, the music, the ships, and the battles.</p>
<p>If your kid’s name is Chewbacca, this show is a no-brainer. If not, get your nerd on and experience the global sensation loved by audiences from London’s West End, Off-Broadway, Dubai, the Sydney Opera House, Lucasfilm, and Charlie’s mom. The Force is strong with this one.</p>
<p>Written and Performed by Charles Ross<br/>
Directed by TJ Dawe.</p>
<p>One Man Star Wars Trilogy performed with permission of Lucasfilm Ltd. All ‘Star Wars’ elements property of Lucasfilm Ltd. All rights reserved.</p>
</div>"
Passport Series: Mokoomba,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, April 11, 2019</span> </div>
<p>Mokoomba is one of Africa’s most exciting young bands, dazzling audiences worldwide with their knockout live shows and potent blend of traditional Tonga, Luvale, &amp; Nyanja sounds laced with international styles from soukous to soul.</p>
<p>Mokoomba is based in Victoria Falls, Zimbabwe. The band’s six members, Mathias Muzaza (lead vocals), Ndaba Coster Moyo (drums, backing vocals), Trustworth Samende (lead guitar, backing vocals), Donald Moyo, (keyboards, backing vocals), Miti Mugande, (percussion &amp; backing vocals) and Abundance Mutori (bass, backing vocals) grew up as friends in the Chinotimba township.</p>
<p>Living in a border city that attracts tourists from all over the world gave Mokoomba’s music an international perspective from the beginning, incorporating everything from reggae to afropop to soul alongside their own local musical traditions.</p>
<p>The group’s members began playing together as teenagers in 2001, and Mokoomba was officially formed in 2008. Their first major success came that same year, when they won the Music Crossroads Inter-Regional Festival Competition in Malawi.</p>
<p>In 2009 Mokoomba recorded its first album, Kweseka — Drifting Ahead, which generated a local hit “Messe Messe”, and the group’s first European tour. Mokoomba recorded a second EP, Umvundla, in 2011. But their big break came in 2012, when the band released Rising Tide produced by pioneering Ivoirian bassist Manou Gallo (Zap Mama) for the Belgian label ZigZag World.</p>
<p>The success of Rising Tide led Mokoomba to tour over 40 countries worldwide, including performances at Denmark’s Roskilde festival, the UK’s WOMAD festival, Belgium’s Couleur Cafe´ festival, Morocco’s annual Gnawa World Music festival and New Orleans’ storied Jazz and Heritage Festival.</p>
<p>In February 2017 Mokoomba released its self-produced third album Luyando on Germany’s OutHere label, a stripped down, mostly acoustic album that took their sound in a whole new direction, and took critics by storm.</p>
<p>Since then, Mokoomba has become one of Zimbabwe’s most popular bands, playing with such icons as Hugh Masekela, Baba Maal and the Talking Head’s Tina Weymouth and Chris Franz. They’ve rocked legendary rooms and stages worldwide, from NYC’s Apollo Theater, and The Kennedy Center is Washington, D.C., to London’s 100 Club and Amsterdam’s Melkweg, to WOMEX and SXSW, sealing their reputation as one of Africa’s best young live bands.</p>
</div>"
Cirque Eloize Saloon,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, April 06, 2019</span> to <span>Sunday, April 07, 2019</span> </div>
<p><strong>Cirque Éloize Saloon</strong></p>
<p>April 6 – 7, 2019</p>
<p>Picture this: America is under construction. The West is booming. The railroad is being developed. In the middle of the desert, a town comes to life. A saloon opens its doors. A place to gather and share tales, it quickly becomes a theatre for stories of all kinds. In <em>Cirque Éloize’s Saloon</em>, the infectious energy of folk music sets the tone to an acrobatic comedy that sweeps the spectators away in a mad rush. Enigmatic, colourful characters come together and reveal themselves, resulting in a series of unexpected situations, unfolding to the rhythm of acrobatic prowess and original choreographies.</p>
<p>Under the spell of the saloon’s beautiful Belle, the lover sets off a chase worthy of the greatest Westerns. The lovebirds on the run wreak havoc everywhere on their path; from the deserted plains to the depth of the mines— until the ultimate acrobatic showdown.</p>
<p>Walking through Saloon’s doors means entering a mythical atmosphere created by live music and the exhilarating pace of spectacular performances.</p>
</div>"
Storm Large & Le Bonheur,"<div class=""content"">
<div class=""show-run"">
<span>Thursday, March 07, 2019</span> </div>
<p>Storm Large: musician, actor, playwright, author, awesome. She shot to national prominence as a contestant on the CBS show Rock Star: Supernova, where despite having been eliminated in the semifinals, Storm built a fan base that continues to follow her around the world. Career highlights include performances with the San Francisco, Pittsburgh, Houston, Toronto, Baltimore, BBC, Phoenix, and Vancouver Symphonies, and her Carnegie Hall debut singing Weill’s Seven Deadly Sins with the Detroit Symphony. Storm debuted with the band Pink Martini in 2011, singing four sold-out concerts with the National Symphony Orchestra at the Kennedy Center. She continues to tour internationally with the band and was featured on their album Get Happy. Storm’s musical memoir, Crazy Enough, played to packed houses during its unprecedented 21-week sold-outrun. Her memoir, Crazy Enough, was named Oprah’s Book of the Week and awarded the 2013 Oregon Book Award for Creative Nonfiction. </p>
</div>"
Film: COLETTE,"<div class=""content"">
<div class=""show-run"">
<span>Monday, December 03, 2018</span> to <span>Thursday, December 06, 2018</span> </div>
<p> </p>
<p class=""x_MsoNormal""><strong><span style=""font-family: Arial"">COLETTE</span></strong><br/>
In this fact-based story, author Sidonie-Gabrielle Colette <i>(Keira Knightley</i><span style=""font-family: Arial"">) agrees to ghostwrite a semi-autobiographical novel for her husband after a move to Paris. The novel’s success inspires her to challenge gender norms, fight for creative ownership, and make her talents publicly known.  Rated R for some sexuality/nudity.  111 minutes.</span></p>
<p class=""x_MsoNormal""><strong>Friday, November 30 at 12pm and 7pm</strong><br/>
<strong>Saturday, December 1 at 11am, 1:30pm, 4pm and 7:15pm</strong><br/>
<strong>Sunday, December 2 at 12pm, 3pm and 6pm</strong><br/>
<strong>Monday, December 3 at 12pm and 7pm</strong><br/>
<strong>Tuesday, December 4 at 12pm and 7pm</strong><br/>
<strong>Wednesday, December 5 at 12pm and 7:30pm</strong><br/>
<strong>Thursday, December 6 at 12pm and 7:30pm</strong></p>
<p class=""x_MsoNormal"">$9 General Admission; $6 Seniors, Students w/ID, and Matinees <i>before</i> 6pm</p>
<p> </p>
</div>"
Currents by Mayumana SD,"<div class=""content"">
<div class=""show-run"">
<span>Monday, March 11, 2019</span> </div>
<p><strong>MAYUMANA: CURRENTS</strong><br/>
March 11, 2019 | 10 a.m.<br/>
Cost: $6/$7<br/>
MainStage at Proctors</p>
<p>Run Time: 70 minutes<br/>
Grades K+</p>
<p><strong>Curriculum Connections: SCIENCE, HISTORY, DANCE</strong></p>
<p>This spectacular show was inspired by the historical Battle of Currents between Thomas Edison and Nikola Tesla in their quest to find energy sources for the world. On stage, we accompany a journey between two performing troops, each representing a different view of the essence of light and electricity and each inspired by a different esthetic.</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
Film: ELF with All-You-Can-Eat popcorn,"<div class=""content"">
<div class=""show-run"">
<span>Saturday, December 15, 2018</span> </div>
<p> </p>
<p><em>It Came From Schenectady presents</em><br/>
<strong>Elf</strong><br/>
After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to New York in search of his true identity. Will Ferrell stars along with a all-star cast featuring James Caan, Bob Newhart, Edward Asner, Mary Steenburgen, Zooey Deschanel, Peter Dinklage, Amy Sedaris and a great many more. </p>
<p>As with other ICFS events, expect prizes, and surprises. Enjoy All-The-Popcorn-You-Can-Eat along with toppings from all 4 essential food groups: Candy, Candy Canes, Candy Corn and, of course, Maple Syrup from Riverside Maple Farms in Glenville, New York!</p>
<p>Rated PG for some mild rude humor and language. 97 minutes.</p>
<p> </p>
</div>"
Peg + Cat - Live! SD,"<div class=""content"">
<div class=""show-run"">
<span>Friday, April 05, 2019</span> </div>
<p><strong>PEG + CAT LIVE!</strong><br/>
CREATED BY BILLY ARONSON &amp; JENNIFER OXLEY, THE CO-CREATORS OF THE PEG + CAT PBS KIDS TV SERIES<br/>
April 5, 2019 | 10 a.m.<br/>
Cost: $6/$7<br/>
MainStage at Proctors</p>
<p>Run Time: 60 minutes<br/>
Grades Pre-K – 1</p>
<p><strong>Curriculum Connections: MATH, PROBLEM SOLVING, TEAMWORK, STEAM</strong></p>
<p>Based on the Emmy©-winning PBS Kids show PEG + CAT (produced by The Fred Rogers Company and 9 Story Entertainment), this totally awesome musical features wild comedy, countless favorite songs from the show, and Peg’s super coolest pal Ramone! When Peg’s mom asks Peg and Cat to mail some really important letters they come face to face with a really big dog. Really Big Problem! To solve it, they’ll need math—bar graphs, size comparison, position words, fair sharing, and a whole lot of counting. They’ll also need to count on each other, and the audience too, for their problem to be solved.</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
Film: National Theatre: MADNESS OF GEORGE III,"<div class=""content""> <div class=""show-run""> <span>Tuesday, December 11, 2018</span> </div> <p> </p> <p>T​HE MADNESS OF GEORGE ​ III<br/> by Alan Bennett</p> <p>Multi-award-winning drama The Madness of George III will be National Theatre Live’s first ever presentation from the Nottingham Playhouse.</p> <p>Written by one of Britain’s best-loved playwrights Alan Bennett (<em>The History Boys, The Lady in the Van</em>), this epic play was also adapted into a BAFTA Award-winning film following its premiere on stage in 1991.</p> <p>The cast of this new production includes Olivier Award-winners Mark Gatiss (<em>Sherlock, Wolf Hall,</em> NT Live <em>Coriolanus</em>) in the title role, and Adrian Scarborough (<em>Gavin and Stacey, Upstairs Downstairs, After the Dance</em>).</p> <p>It’s 1786 and King George III is the most powerful man in the world. But his behavior is becoming increasingly erratic as he succumbs to fits of lunacy. With the King’s mind unravelling at a dramatic pace, ambitious politicians and the scheming Prince of Wales threaten to undermine the power of the Crown, and expose the fine line between a King and a man.  Not Rated, but treated as PG-13.  170 minutes.</p> <p>Tuesday, December 11 at 2pm and 7pm</p> <p>All Tickets: $15</p> <p> </p> </div>"
Erth's Prehistoric Aquarium SD,"<div class=""content"">
<div class=""show-run"">
<span>Friday, February 15, 2019</span> </div>
<p><strong>ERTH’S PREHISTORIC AQUARIUM</strong><br/>
February 15, 2019 | 10 a.m.<br/>
Cost: $10/$11<br/>
MainStage at Proctors</p>
<p>Run Time: 60 minutes<br/>
Grades K+</p>
<p><strong>Curriculum Connections: HISTORY, GEOGRAPHY, LIFE SCIENCE</strong></p>
<p>Deep below the surface, submerged below time, swam some of the world’s most amazing prehistoric marine reptiles. Following the show Erth’s Dinosaur Zoo™, the team at Erth have spent years scouring the seven seas, collecting playful, historic creatures of the deep in their giant aquarium. In Erth’s Prehistoric Aquarium you will be able to get up close and personal with an amazing array of aquatic creatures from bygone eras, connecting young audiences to the real science of paleontology.</p>
<p><a href=""https://school.proctors.org/education-group-ordering/"" rel=""noopener"" target=""_blank"">School Group Order Information</a><br/>
A limited number of single tickets are available, please contact the Box Office at (518) 346-6204 to purchase.</p>
</div>"
The Book of Mormon,"<div class=""content""> <div class=""show-run""> <span>Tuesday, May 14, 2019</span> to <span>Sunday, May 19, 2019</span> </div> <p>Enter your VIP PRESALE code here:</p> <div style=""text-align: center""><strong style=""font-size: 12px;text-align: center""><strong style=""line-height: 15.384px""><strong><a href=""https://tickets.proctors.org/TheatreManager/95/login&amp;coupon=0"" rel=""noopener"" style=""font-size: 24px;color: #000000;padding: 0.25em 1em;text-decoration: none;background: none 0px 0px repeat scroll #f4ae2c"" target=""_blank"">PRESALE</a></strong></strong></strong></div> <p> </p> <img alt="""" class=""alignnone wp-image-2336 size-large"" height=""453"" sizes=""(max-width: 680px) 100vw, 680px"" src=""https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-1024x682.jpeg"" srcset=""https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-1024x682.jpeg 1024w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-300x200.jpeg 300w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview-768x512.jpeg 768w, https://www.proctors.org/wp-content/uploads/sites/4/2018/02/The-Book-of-Mormon-Company-The-Book-of-Mormon-c-Julieta-Cervantes-2017_preview.jpeg 1280w"" width=""680""/> <p>The New York Times calls it “the best musical of this century.” The Washington Post says, “It is the kind of evening that restores your faith in musicals.” And Entertainment Weekly says, “Grade A: the funniest musical of all time.” Jimmy Fallon of The Tonight Show calls it “Genius. Brilliant. Phenomenal.” It’s The Book of Mormon, the nine-time Tony Award®-winning Best Musical. Contains explicit language.</p> <p>The Sunday 1:30 pm performance will feature a sign language interpreter. To request access to this section, please call our box office at 518.346.6204.</p> <p>Run Time: There will be two 60-minute acts with a 20-minute intermission.</p> <h2>Special Events and Programs</h2> <p><a href=""https://school.proctors.org/theatretalks/"" rel=""noopener"" target=""_blank""><strong>Henry Schaffer TheatreTalks – May 16, 2019</strong></a><br/> Henry Schaffer TheatreTalks offer guests exclusive behind-the-scenes discussions with cast, crew and industry professionals! TheatreTalks are FREE and open to all ticket holders. Talk will follow the Thursday matinee performance starting at approximately 4 pm in the GE Theatre. Dates and times subject to change.</p> <p><strong>Apostrophe Café Thursday Matinee</strong><br/> Lunch – May 16, 2019<br/> <a href=""https://tickets.proctors.org/TheatreManager/95/online?performance=32905"">Click here</a> to pre-order your lunch for pick up at Apostrophe Café</p> </div>"
